DATE,Sequence Number,VW,SP500,IBM,PACGE,WALMART,TBill30,exVW,exSP500,exIBM,exPACGE,exWALMART
820331,50,-0.0092,-0.0102,-0.0343,-0.0031,0.1046,0.011077,-0.020277,-0.021277,-0.045377,-0.014177,0.093523
820430,51,0.0419,0.04,0.0753,0.069,0.1366,0.01129,0.03061,0.02871,0.06401,0.05771,0.12531
820528,52,-0.0277,-0.0392,-0.0294,0.0484,-0.0601,0.009592,-0.037292,-0.048792,-0.038992,0.038808,-0.069692
820630,53,-0.0225,-0.0203,-0.0142,0.0051,0.0837,0.01071,-0.03321,-0.03101,-0.02491,-0.00561,0.07299
820730,54,-0.0204,-0.023,0.0825,-0.0211,0.0307,0.01021,-0.03061,-0.03321,0.07229,-0.03131,0.02049
820831,55,0.1249,0.116,0.0874,0.1452,0.153,0.008342,0.116558,0.107658,0.079058,0.136858,0.144658
820930,56,0.0125,0.0076,0.0408,0.047,0.1315,0.005118,0.007382,0.002482,0.035682,0.041882,0.126382
821029,57,0.1164,0.1104,0.0886,-0.0046,0.1056,0.005475,0.110925,0.104925,0.083125,-0.010075,0.100125
821130,58,0.0472,0.0361,0.0937,0.0046,0.207,0.007201,0.039999,0.028899,0.086499,-0.002601,0.199799
821231,59,0.016,0.0152,0.1127,0.0645,0.0537,0.006289,0.009711,0.008911,0.106411,0.058211,0.047411
830131,60,0.0382,0.0331,0.0273,0.0711,-0.0576,0.006864,0.031336,0.026236,0.020436,0.064236,-0.064464
830228,61,0.0279,0.019,0.01,0.0208,0.0479,0.006186,0.021714,0.012814,0.003814,0.014614,0.041714
830331,62,0.0339,0.0331,0.0278,0.0203,0.1766,0.006326,0.027574,0.026774,0.021474,0.013974,0.170274
830429,63,0.0733,0.0749,0.1499,0.049,0.0648,0.006918,0.066382,0.067982,0.142982,0.042082,0.057882
830531,64,0.0072,-0.0124,-0.041,0.0117,0.1663,0.007584,-0.000384,-0.019984,-0.048584,0.004116,0.158716
830630,65,0.0388,0.0352,0.0809,-0.0677,0.0897,0.006661,0.032139,0.028539,0.074239,-0.074361,0.083039
830729,66,-0.0299,-0.033,0.001,0.0085,0.0479,0.006917,-0.036817,-0.039917,-0.005917,0.001583,0.040983
830831,67,0.01,0.0113,0.0006,0.042,-0.0388,0.008342,0.001658,0.002958,-0.007742,0.033658,-0.047142
830930,68,0.0166,0.0102,0.0617,0.0177,0.0381,0.007607,0.008993,0.002593,0.054093,0.010093,0.030493
831031,69,-0.0213,-0.0152,-0.001,0.0569,-0.0398,0.007433,-0.028733,-0.022633,-0.008433,0.049467,-0.047233
831130,70,0.0275,0.0174,-0.0665,0.0231,0.0732,0.007199,0.020301,0.010201,-0.073699,0.015901,0.066001
831230,71,-0.0084,-0.0088,0.0394,-0.0812,-0.0734,0.007039,-0.015439,-0.015839,0.032361,-0.088239,-0.080439
840131,72,-0.0098,-0.0092,-0.0646,0.0084,-0.0897,0.008083,-0.017883,-0.017283,-0.072683,0.000317,-0.097783
840229,73,-0.0366,-0.0389,-0.0256,-0.075,-0.0951,0.007328,-0.043928,-0.046228,-0.032928,-0.082328,-0.102428
840330,74,0.0161,0.0135,0.034,-0.0432,0.0367,0.00728,0.00882,0.00622,0.02672,-0.05048,0.02942
840430,75,0.0049,0.0055,-0.0022,0.0291,0.0677,0.00813,-0.00323,-0.00263,-0.01033,0.02097,0.05957
840531,76,-0.0516,-0.0594,-0.0444,0.0189,0.0458,0.007898,-0.059498,-0.067298,-0.052298,0.011002,0.037902
840629,77,0.0224,0.0175,-0.0186,0.0504,0.1125,0.007534,0.014866,0.009966,-0.026134,0.042866,0.104966
840731,78,-0.0176,-0.0165,0.0473,0,-0.0121,0.008755,-0.026355,-0.025255,0.038545,-0.008755,-0.020855
840831,79,0.1129,0.1063,0.1273,0.0182,0.0841,0.007963,0.104937,0.098337,0.119337,0.010237,0.076137
840928,80,0.002,-0.0035,0.004,0.0843,-0.0283,0.008293,-0.006293,-0.011793,-0.004293,0.076007,-0.036593
841031,81,0.0016,-0.0001,0.0119,0.0339,-0.0175,0.009766,-0.008166,-0.009866,0.002134,0.024134,-0.027266
841130,82,-0.0098,-0.0151,-0.0231,0.0984,-0.0534,0.007334,-0.017134,-0.022434,-0.030434,0.091066,-0.060734
841231,83,0.0241,0.0224,0.0113,0.0033,-0.0488,0.006923,0.017177,0.015477,0.004377,-0.003623,-0.055723
850131,84,0.0802,0.0741,0.1076,0.0229,0.2013,0.006474,0.073726,0.067626,0.101126,0.016426,0.194826
850228,85,0.0164,0.0087,-0.0094,0.0373,0,0.006033,0.010367,0.002667,-0.015433,0.031267,-0.006033
850329,86,0,-0.0029,-0.0522,0.0391,-0.0177,0.00616,-0.00616,-0.00906,-0.05836,0.03294,-0.02386
850430,87,-0.0031,-0.0046,-0.0039,0.0426,0.0504,0.007565,-0.010665,-0.012165,-0.011465,0.035035,0.042835
850531,88,0.0587,0.0541,0.0255,0.068,0.1173,0.006062,0.052638,0.048038,0.019438,0.061938,0.111238
850628,89,0.0165,0.0121,-0.0379,0.0234,0.0443,0.005546,0.010954,0.006554,-0.043446,0.017854,0.038754
850731,90,-0.0029,-0.0049,0.0616,-0.0701,-0.0938,0.006196,-0.009096,-0.011096,0.055404,-0.076296,-0.099996
850830,91,-0.0042,-0.012,-0.0278,0.0274,0.0469,0.005792,-0.009992,-0.017792,-0.033592,0.021608,0.041108
850930,92,-0.0375,-0.0347,-0.0217,-0.0355,-0.0773,0.006049,-0.043549,-0.040749,-0.027749,-0.041549,-0.083349
851031,93,0.0438,0.0425,0.0484,0.0497,0.11,0.006021,0.037779,0.036479,0.042379,0.043679,0.103979
851129,94,0.0685,0.0651,0.0845,0.0541,0.1179,0.006156,0.062344,0.058944,0.078344,0.047944,0.111744
851231,95,0.0441,0.0451,0.1127,0.0492,0.0771,0.006139,0.037961,0.038961,0.106561,0.043061,0.070961
860131,96,0.0067,0.0024,-0.0257,0.025,0.0078,0.004865,0.001835,-0.002465,-0.030565,0.020135,0.002935
860228,97,0.0728,0.0715,0.0031,0.1098,0.0584,0.005296,0.067504,0.066204,-0.002196,0.104504,0.053104
860331,98,0.0553,0.0528,0.0041,0.0147,0.1593,0.005963,0.049337,0.046837,-0.001863,0.008737,0.153337
860430,99,-0.013,-0.0142,0.0314,-0.0663,0.0286,0.005341,-0.018341,-0.019541,0.026059,-0.071641,0.023259
860530,100,0.0515,0.0502,-0.0178,0.0947,0.1821,0.004934,0.046566,0.045266,-0.022734,0.089766,0.177166
860630,101,0.0146,0.0141,-0.0386,0.01,0.0844,0.005246,0.009354,0.008854,-0.043846,0.004754,0.079154
860731,102,-0.0558,-0.0587,-0.0956,0.1038,-0.1036,0.005011,-0.060811,-0.063711,-0.100611,0.098789,-0.108611
860829,103,0.0722,0.0712,0.0555,0.0792,0.0117,0.004614,0.067586,0.066586,0.050886,0.074586,0.007086
860930,104,-0.0785,-0.0854,-0.0306,-0.1017,-0.1064,0.004783,-0.083283,-0.090183,-0.035383,-0.106483,-0.111183
861031,105,0.0526,0.0547,-0.0809,0.0313,0.0685,0.004209,0.048391,0.050491,-0.085109,0.027091,0.064291
861128,106,0.0179,0.0215,0.0372,0.0303,0.0613,0.003924,0.013976,0.017576,0.033276,0.026376,0.057376
861231,107,-0.026,-0.0283,-0.0561,-0.0302,-0.0227,0.004767,-0.030767,-0.033067,-0.060867,-0.034967,-0.027467
870130,108,0.1292,0.1318,0.0729,0.1083,0.043,0.004151,0.125049,0.127649,0.068749,0.104149,0.038849
870227,109,0.042,0.0369,0.092,-0.0279,0.1289,0.004309,0.037691,0.032591,0.087691,-0.032209,0.124591
870331,110,0.0252,0.0264,0.0762,-0.0582,0.0513,0.005012,0.020188,0.021388,0.071188,-0.063212,0.046288
870430,111,-0.0153,-0.0115,0.0666,-0.1192,-0.0152,0.004285,-0.019585,-0.015785,0.062315,-0.123485,-0.019485
870529,112,0.0063,0.006,0.0061,-0.0235,0.0331,0.00376,0.00254,0.00224,0.00234,-0.02726,0.02934
870630,113,0.0475,0.0479,0.0156,-0.007,0.157,0.005031,0.042469,0.042869,0.010569,-0.012031,0.151969
870731,114,0.0471,0.0482,-0.0092,-0.0435,0.1017,0.004058,0.043042,0.044142,-0.013258,-0.047558,0.097642
870831,115,0.0358,0.035,0.0526,0.0584,0.0881,0.004744,0.031056,0.030256,0.047856,0.053656,0.083356
870930,116,-0.0206,-0.0242,-0.1047,-0.0439,-0.0648,0.00482,-0.02542,-0.02902,-0.10952,-0.04872,-0.06962
871030,117,-0.2183,-0.2176,-0.1874,-0.0724,-0.2706,0.00604,-0.22434,-0.22364,-0.19344,-0.07844,-0.27664
871130,118,-0.075,-0.0854,-0.0869,-0.0071,-0.1312,0.003366,-0.078366,-0.088766,-0.090266,-0.010466,-0.134566
871231,119,0.0687,0.0729,0.0429,-0.044,0.0846,0.002988,0.065712,0.069912,0.039912,-0.046988,0.081612
