MPG City,GPHM,Weight,Horsepower,Wheelbase,Price,Torque (foot lbs.),Displacement (cu.in.),Pounds/HP,Cargo Volume (EPA),Passenger Volume (EPA),Fuel Capacity,Combined Fuel Economy,Cylinders,Seating (Standard),Transmission Speeds,Transmission (Automatic/Manual),Height,Length,Width,Track (Front),Track (Rear),Curb Weight AT,Curb Weight MT,MPG Highway,Sales Volume,Residual Value after 36 Months,Model,Model Year,Type,Residual GPHM
21,4.76190476,2.921,180,95.4,33250,173,107,16.2277778,14,65,14.5,24,4,4,6,A,53,159.1,73.1,60,59.6,2921,,29,,,2004 Audi TT 180 Coupe FrontTrak Current,2004,Sports Car,0.1087663802
16,6.25,4.178,250,108.5,39950,258,163,16.712,,,18.5,18,6,5,6,M,62,189.4,76.1,62,62.4,,4178,23,,,2004 Audi allroad quattro 2.7 T Current,2004,Car/Sedan,0.0582508982
20,5,3.561,220,108.7,35950,221,182,16.1863636,15,98,18.5,23,6,5,VAR,A,57.2,192,71.3,60.6,61.8,3561,,27,,,2004 Audi A6 3.0 with Multitronic Current,2004,Car/Sedan,-0.248770516
20,5,2.965,184,98.2,33100,175,152,16.1141304,,,14.5,23,6,2,5,M,50.1,161.1,70.1,58,60,2998,2932,28,9718,51,2003 BMW Z4 roadster 2.5i Current,2003,Sports Car,0.3587968835
20,5,3.4775,184,111.4,37600,175,152,18.8994565,11,93,18.5,24,6,5,5,M,56.5,188,70.9,59.5,60.1,3505,3450,29,39176,54,2003 BMW 5 Series 525i sedan Current,2003,Car/Sedan,0.1459542021
16,6.25,3.415,333,107.5,46500,262,198,10.2552553,9,84,16.6,19,6,5,6,M,54,176.8,70.1,54.7,60,,3415,24,9508,59,2003 BMW M3 Coupe Current,2003,Sports Car,0.5714885887
18,5.55555556,4.376,325,117.7,68500,330,268,13.4646154,18,104,23.3,21,8,5,6,A,58.7,198,74.9,62.1,62.3,4376,,26,22006,48,2003 BMW 7 Series 745i Sedan Current,2003,Car/Sedan,-0.901568968
15,6.66666667,4.5595,225,111,39500,214,182,20.2644444,,,24.3,17,6,5,5,M,69.3,183.7,73.7,62,62,4586,4533,21,42752,55,2003 BMW X5 3.0i Sports Activity Vehicle Current,2003,SUV,0.2029008788
20,5,3.241,184,107.3,30100,175,152,17.6141304,9,84,16.6,24,6,5,5,M,53.9,176.7,69.2,57.9,58.4,3285,3197,29,,57,2004 BMW 3 Series 325Ci Coupe Current,2004,Car/Sedan,0.2898404767
20,5,3.342,175,109,21520,195,191,19.0971429,17,102,17,23,6,6,4,A,56.6,194.6,72.7,62,61.1,3342,,29,,,2004 Buick Century Sedan Current,2004,Car/Sedan,0.2352810541
19,5.26315789,3.418,200,109,24235,225,231,17.09,17,102,17,23,6,5,4,A,56.6,196.2,72.7,62,61.3,3418,,29,,,2004 Buick Regal LS Current,2004,Car/Sedan,0.2750275649
20,5,3.567,205,112.2,25745,230,231,17.4,18,107,18,23,6,6,4,A,57,200,73.5,62.3,62.3,3567,,29,,,2004 Buick LeSabre Custom Current,2004,Car/Sedan,-0.097031333
19,5.26315789,4.024,185,112.2,25895,210,204,21.7513514,,,18,22,6,5,4,A,68.9,186.5,73.6,62.7,63.8,4024,,26,,,2004 Buick Rendezvous FWD CX Current,2004,SUV,-0.307962073
20,5,3.778,205,113.8,34750,230,231,18.4292683,19,111,18,23,6,6,4,A,57.4,206.8,74.7,62.7,62.3,3778,,29,,,2004 Buick Park Avenue Sedan Current,2004,Car/Sedan,-0.283862132
17,5.88235294,3.647,320,105.7,75385,310,279,11.396875,,,18,21,8,2,5,A,50.4,177.7,72.3,62.2,62.2,3647,,25,,,2004 Cadillac XLR Convertible Current,2004,Car/Sedan,0.0191608715
18,5.55555556,4.164,260,116.4,37995,252,217,16.0153846,,,20,21,6,5,5,A,67.8,194.9,72.6,61.9,62.2,4164,,23,,,2004 Cadillac SRX V6 Current,2004,Car/Sedan,-0.424497532
18,5.55555556,3.5385,220,113.4,30140,220,194,16.0840909,13,100,17.5,22,6,5,5,M,56.7,190.1,70.6,60.3,60,3568,3509,26,,,2004 Cadillac CTS Sedan Current,2004,Sports Car,0.4672082216
18,5.55555556,3.978,275,115.3,44650,300,279,14.4654545,19,115,18.5,21,8,6,4,A,56.7,207.2,74.5,62.7,62.2,3978,,27,,,2004 Cadillac DeVille Sedan Current,2004,Car/Sedan,-0.281277978
18,5.55555556,3.969,275,112.2,45535,300,279,14.4327273,15,104,18.5,21,8,5,4,A,55.7,201,75,62.7,62.9,3969,,27,,,2004 Cadillac Seville SLS Current,2004,Car/Sedan,-0.366752708
14,7.14285714,5.367,285,116,51980,325,327,18.8315789,,,26,15,8,7,4,A,76.5,198.9,78.9,65,66,5367,,18,,,2004 Cadillac Escalade 2WD Current,2004,SUV,-0.473102806
26,3.84615385,2.617,140,104.1,14045,150,134,18.6928571,13,87,14.1,29,4,5,5,M,53,180.9,68.7,57.6,56.4,,2617,33,,,2004 Chevrolet Cavalier Coupe Current,2004,Car/Sedan,0.0129859281
23,4.34782609,3.174,145,106.3,18370,155,134,21.8896552,,,16.6,27,4,5,4,A,57.5,188.3,69.9,60,59.3,3174,,33,,,2004 Chevrolet Malibu Sedan Current,2004,Car/Sedan,-0.137511847
21,4.76190476,3.389,180,110.5,21240,205,205,18.8277778,18,105,17,25,6,6,4,A,57.3,200,73,62,61.1,3389,,32,,,2004 Chevrolet Impala Sedan Current,2004,Car/Sedan,-0.042511603
21,4.76190476,3.34,180,110.5,21165,205,207,18.5555556,16,98,17,26,6,5,4,A,55.2,197.9,72.3,62,61.4,3340,,32,,,2004 Chevrolet Monte Carlo LS Current,2004,Car/Sedan,0.0197606252
18,5.55555556,3.214,350,104.5,43735,360,350,9.18285714,,,18,21,8,2,4,A,47.7,179.7,73.6,61.9,62,3214,,25,,,2004 Chevrolet Corvette Coupe Current,2004,Sports Car,-0.064975377
19,5.26315789,2.906,165,97.6,19780,162,152,17.6121212,,,16,20,6,5,4,A,65.6,162.6,67.3,57.5,57.5,2906,,21,,,2004 Chevrolet Tracker Base 2WD Current,2004,Car/Sedan,0.7354517518
16,6.25,4.425,275,113,27145,275,256,16.0909091,,,22,18,6,5,4,A,74.5,191.8,74.6,63.1,62.1,4425,,22,,,2004 Chevrolet TrailBlazer LS 2WD Current,2004,SUV,-0.291345808
15,6.66666667,3.611,190,100.5,20745,250,262,19.0052632,,,18.7,18,6,4,5,M,65.2,177.3,67.8,55,54.6,,3611,21,,,2004 Chevrolet Blazer 2-Door 2WD LS Current,2004,SUV,1.2004303812
14,7.14285714,4.828,285,116,34200,295,294,16.9403509,,,26,16,8,6,4,A,76.5,196.9,78.9,65,66,4828,,18,,,2004 Chevrolet Tahoe 2WD Current,2004,SUV,0.1538636518
14,7.14285714,5.323,295,130,37050,330,327,18.0440678,,,31,15,8,9,4,A,75.6,219.3,78.8,65,66,5323,,18,,,2004 Chevrolet Suburban 1500 2WD Current,2004,SUV,-0.07077878
19,5.26315789,3.699,185,112,21315,210,207,19.9945946,,,20,22,6,7,4,A,67.4,186.9,72,61.5,63.3,3699,,26,,,2004 Chevrolet Venture Regular Wheelbase Plus Current,2004,Van,0.0846447144
16,6.25,4.321,190,111.2,23690,250,262,22.7421053,,,27,17,6,8,4,A,75,189.8,77.5,65.1,65.1,4321,,20,,,2004 Chevrolet Astro Passenger Van Rear Wheel Drive Current,2004,Van,0.2329333744
15,6.66666667,5.245,200,135,25045,250,262,26.225,,,31,17,6,8,4,A,81.6,224.1,79.4,67.8,67.8,5245,,20,,,2004 Chevrolet Express Passenger Van 1500 Regular Wheelbase Current,2004,Van,0.1884867366
22,4.54545455,2.972,120,108.3,14770,140,134,24.7666667,,,18,24,4,3,5,M,62,190,67.9,54.4,54.6,2990,2954,28,150992,25,2003 Chevrolet Truck S-10 Regular Cab Short Box 2WD Current,2003,Truck,0.5057964657
21,4.76190476,3.149,150,103,16980,162,148,20.9933333,,,15,24,4,5,5,M,63,168.8,67.1,58.3,58.2,3190,3108,29,138260,43,2003 Chrysler PT Cruiser Base Current,2003,Car/Sedan,0.170128745
21,4.76190476,3.869,150,113.3,20750,167,148,25.7933333,,,20,23,4,7,4,A,68.9,189.1,78.6,63,64,3869,,27,37392,27,2003 Chrysler Voyager Base Current,2003,Van,-0.403540801
21,4.76190476,3.201,200,108,19850,190,167,16.005,16,94,16,23,6,5,4,A,54.9,190.7,70.6,60.2,60.2,3201,,28,,40,2004 Chrysler Sebring Sedan LX [Pre August Production] Current,2004,Car/Sedan,0.0034262812
21,4.76190476,3.479,200,113,23480,190,167,17.395,19,107,17,24,6,5,4,A,55.9,207.7,74.4,61.9,61.6,3479,,29,,35,2004 Chrysler Concorde LX Current,2004,Car/Sedan,-0.177634205
17,5.88235294,4.482,250,116.3,30550,250,215,17.928,,,23,,6,6,4,A,66.5,198.9,79.3,66,66,4482,,22,,48,2004 Chrysler Pacifica FWD Current,2004,SUV,-0.477917882
18,5.55555556,3.581,250,113,29185,255,215,14.324,17,105,17,21,6,5,4,A,56,197.8,74.4,61.9,61.6,3581,,27,,41,2004 Chrysler 300M Sedan Current,2004,Car/Sedan,0.2339400152
18,5.55555556,3.072,215,94.5,33620,229,195,14.2883721,,,15.9,,6,2,6,M,51.4,159.8,69.5,58.3,58.2,3084,3060,27,,,2004 Chrysler Crossfire Coupe Current,2004,Car/Sedan,0.4919557281
29,3.44827586,2.608,132,105,12935,130,122,19.7575758,13,90,12.5,32,4,5,5,M,56,174.4,67.4,58,58,2635,2581,36,126118,26,2003 Dodge Neon SE Current,2003,Car/Sedan,-0.304746844
21,4.76190476,3.469,200,113,21385,190,167,17.345,,,17,24,6,5,4,A,55.9,203.7,74.7,62.4,62,3469,,29,,33,2004 Dodge Intrepid SE Current,2004,Car/Sedan,-0.172043286
21,4.76190476,3.869,150,113.3,20430,167,148,25.7933333,,,20,23,4,7,4,A,68.9,189.3,78.6,63,64,3869,,27,244911,30,2003 Dodge Caravan SE Current,2003,Van,-0.404635993
14,7.14285714,4.379,235,116,26875,295,287,18.6340426,,,25,16,8,5,5,A,70.5,193.5,71.3,60.9,61.9,4379,,19,106925,40,2003 Dodge Durango Sport 4X2 Current,2003,Truck,0.9732026149
15,6.66666667,3.512,175,111.9,16635,225,239,20.0685714,,,20,17,6,3,5,M,64.7,196,71.6,60.9,61.5,3635,3389,21,130712,32,2003 Dodge Truck Dakota Regular Cab 4X2 Base Current,2003,Truck,1.7618295351
26,3.84615385,2.4895,130,98.4,13205,127,121,19.15,16,80,12.7,29,4,4,5,M,52.3,175.2,67.4,56.5,56.5,2501,2478,33,51857,26,2003 Ford ZX2 Standard Current,2003,Car/Sedan,0.0432518842
26,3.84615385,2.551,130,103,12820,135,121,19.6230769,21,95,13.2,29,4,5,5,M,56.3,168.1,66.9,58.8,58.5,,2551,34,243199,34,2003 Ford Focus ZX3 - 100A Current,2003,Car/Sedan,0.1118241296
20,5,3.336,155,108.5,19630,186,182,21.5225806,17,105,18,23,6,6,4,A,56.1,197.6,73,61.6,62.1,3336,,28,332690,28,2003 Ford Taurus LX Standard Sedan - 100A Current,2003,Car/Sedan,0.3289178225
21,4.76190476,2.75,170,103,18590,145,121,16.1764706,21,95,13.2,,4,5,6,M,56.3,168.1,66.9,58.8,58.5,,2750,28,,,2004 Ford SVT Focus 3-Door Current,2004,Sports Car,0.5762271176
20,5,3.29,190,101.3,17720,220,232,17.3157895,11,82,15.7,,6,4,5,M,53.1,183.2,73.1,59.9,60.1,,3290,29,,,2004 Ford Mustang Standard Coupe Current,2004,Car/Sedan,-0.04115759
16,6.25,3.665,390,101.3,33575,390,280,9.3974359,11,82,15.7,21,8,4,6,M,52.5,183.5,73.1,60.3,60.3,,3665,22,,,2004 Ford SVT Mustang Cobra Coupe Current,2004,Sports Car,-0.301190108
17,5.88235294,4.057,224,114.7,23620,265,281,18.1116071,21,111,19,,8,6,4,A,58.3,212,78.2,63.4,65.6,4057,,25,79716,,2004 Ford Crown Victoria Standard Current,2004,Car/Sedan,0.130248583
17,5.88235294,3.775,280,107.2,36925,286,240,13.4821429,8,52,18,,8,2,5,A,52.1,186.3,72,60.5,60.2,3775,,23,,,2004 Ford Thunderbird Deluxe Current,2004,Car/Sedan,-0.010275139
17,5.88235294,4.017,200,120.7,23070,240,232,20.085,,,26,20,6,7,4,A,66.1,201.5,76.6,64.3,63,4017,,23,148875,28,2003 Ford Windstar Wagon Base Current,2003,Van,0.5032273949
23,4.34782609,3.019,127,103.1,18710,135,121,23.7716535,,,16,25,4,5,5,M,69.1,173,70.1,61.2,61,,3019,28,,,2004 Ford Escape XLS 4X2 Value Current,2004,SUV,0.0559516219
15,6.66666667,5.218,232,119,31940,291,281,22.4913793,,,28,,8,9,4,A,77.6,205.8,78.7,67,67.3,5218,,19,,,2004 Ford Expedition XLS 4x2 4.6L Current,2004,SUV,-0.443251706
14,7.14285714,5.147,225,138,24520,286,281,22.8755556,,,35,16,8,8,4,A,80.9,211.9,79.3,69.4,67,5147,,18,,,2004 Ford E-Series Wagon E-150 XL Current,2004,SUV,0.7489815472
25,4,2.612,130,103,12725,135,121,20.0923077,21,95,13.2,,4,5,5,M,56.3,168.1,66.9,58.8,58.5,,2612,32,,,2004 Ford Focus ZX3 Current,2004,Car/Sedan,0.1875030311
24,4.16666667,3.1285,143,111.6,13645,153,140,21.8776224,,,16.5,26,4,3,5,M,64.9,187.5,69.4,58.6,57.3,3172,3085,29,226094,27,2003 Ford Truck Ranger Regular Cab 4x2 112-in. WB XL Styleside - 411A Current,2003,Truck,-0.094974194
16,6.25,4.432,275,113,28845,275,256,16.1163636,,,22,19,6,5,4,A,71.9,191.6,74.7,63.1,62.1,4432,,22,,,2004 GMC Envoy SLE 2WD Current,2004,Truck,-0.294460303
14,7.14285714,5.037,285,116,34910,295,294,17.6736842,,,26,16,8,6,4,A,76.7,198.9,78.9,65,66,5037,,18,,,2004 GMC Yukon 2WD Current,2004,Truck,-0.110411351
16,6.25,4.321,190,111.2,23690,250,262,22.7421053,,,27,17,6,8,4,A,75,189.8,77.5,65.1,65.1,4321,,20,,,2004 GMC Safari Passenger Van Rear Wheel Drive Current,2004,Van,0.2329333744
15,6.66666667,5.245,200,135,25045,250,262,26.225,,,31,17,6,8,4,A,81.6,224.1,79.4,67.8,67.8,5245,,20,,,2004 GMC Savana Passenger Van G1500 Regular Wheelbase RWD Current,2004,Van,0.1884867366
22,4.54545455,3.002,120,108.3,14770,140,134,25.0166667,,,18,24,4,3,5,M,62,190,67.9,54.4,54.6,3020,2984,28,41100,25,2003 GMC Truck Sonoma Regular Cab SL Short Box 2WD Current,2003,Truck,0.4675134572
32,3.125,2.403,115,103.1,12810,110,102,20.8956522,13,86,13.2,34,4,5,5,M,55.1,174.7,66.7,57.9,57.9,,2403,38,313159,48,2003 Honda Civic Coupe DX 5-spd MT Current,2003,Car/Sedan,-0.335843795
61,1.63934426,1.847,67,94.5,19080,66,61,27.5671642,,,10.6,64,3,2,5,M,53.3,155.1,66.7,56.5,52.2,,1847,68,2216,,2003 Honda Insight 5-spd MT Current,2003,Car/Sedan,-1.107334396
26,3.84615385,2.994,160,105.1,19300,161,144,18.7125,13,91,17.1,29,4,5,5,M,55.7,187.6,71.3,61.1,61.2,,2994,34,398980,52,2003 Honda Accord Coupe LX 5-spd MT Current,2003,Car/Sedan,-0.526440238
20,5,2.81,240,94.5,32600,153,122,11.7083333,,,13.2,23,4,2,6,M,50.6,162.2,68.9,57.9,59.4,,2810,26,9684,59,2003 Honda S2000 6-spd MT Current,2003,Sports Car,0.1315277425
21,4.76190476,3.33,160,101.4,16100,161,144,20.8125,,,15.9,,4,4,5,M,74,169.3,71.5,62.1,62.3,,3330,26,957,46,2003 Honda Element DX 2WD 5-spd MT Current,2003,SUV,-0.169752075
23,4.34782609,3.201,160,103.1,18900,162,144,20.00625,,,15.3,25,4,5,4,A,66.2,178.6,70.2,60.4,60.6,3201,,28,146266,53,2003 Honda CR-V LX 2WD 4-spd AT Current,2003,Car/Sedan,-0.35479847
17,5.88235294,4.416,240,106.3,26900,242,212,18.4,,,19.2,19,6,8,5,A,70.6,188,76.3,66.3,66.5,4416,,22,52062,57,2003 Honda Pilot LX 5-spd AT Current,2003,SUV,-0.674443003
18,5.55555556,4.299,240,118.1,24400,242,212,17.9125,,,20,21,6,7,5,A,68.5,201.2,75.6,66.1,66.1,4299,,25,153467,60,2003 Honda Odyssey LX 5-spd AT Current,2003,Van,-0.47989137
,,6.4,316,122.8,48455,360,364,20.2531646,,,32,,8,5,4,A,77.8,189.8,81.2,69.4,69.4,6400,,,18861,47,2003 HUMMER H2 Sport Utility Current,2003,Car/Sedan,
29,3.44827586,2.255,104,96.1,9999,106,98,21.6826923,12,89,11.9,31,4,5,5,M,54.9,166.7,65.7,56.5,56.1,,2255,33,71488,24,2003 Hyundai Accent 3-door Current,2003,Car/Sedan,0.0006105026
24,4.16666667,2.6665,135,102.7,12899,132,121,19.7518519,13,95,14.5,28,4,5,5,M,56.1,177.1,67.7,58.5,58.1,2698,2635,33,120638,37,2003 Hyundai Elantra GLS Current,2003,Car/Sedan,0.2483974781
23,4.34782609,2.9685,134,99.6,16249,132,121,22.1529851,15,81,14.5,26,4,4,5,M,52.3,173,69.3,58.7,58.7,2997,2940,31,19963,40,2003 Hyundai Tiburon Base Current,2003,Car/Sedan,-0.038919829
22,4.54545455,3.199,138,106.3,15499,147,143,23.1811594,13,100,17.2,25,4,5,5,M,56,186.9,71.7,60.6,60.2,3217,3181,30,68085,36,2003 Hyundai Sonata Sedan Current,2003,Car/Sedan,0.0563897192
20,5,3.534,138,103.1,17549,147,143,25.6086957,31,101,17.2,23,4,5,5,M,66,177.2,72.7,60.7,60.7,3574,3494,27,78279,45,2003 Hyundai Santa Fe Base Current,2003,SUV,-0.012756307
17,5.88235294,3.651,194,108.3,23999,216,211,18.8195876,15,103,18.5,20,6,5,5,A,55.9,191.5,71.9,60.6,60.2,3651,,26,16666,36,2003 Hyundai XG 350 Sedan Current,2003,Car/Sedan,0.6060782352
19,5.26315789,3.336,260,112.2,27800,260,213,12.8307692,11,95,20,21,6,5,5,A,57.7,186.5,69,59.4,59.6,3336,,26,34775,51,2003 Infiniti G35 Sport Sedan Current,2003,Car/Sedan,0.1693553949
20,5,3.306,255,108.3,29100,246,213,12.9647059,15,102,18.5,22,6,5,4,A,57,193.7,70.2,60.2,59.4,3306,,26,25712,45,2003 Infiniti I35 Luxury Current,2003,Car/Sedan,-0.14971833
17,5.88235294,3.851,340,110.2,42300,333,274,11.3264706,13,91,21.1,20,8,5,5,A,57.6,197.2,69.7,59.4,59.4,3851,,23,1010,47,2003 Infiniti M45 Sedan Current,2003,Car/Sedan,-0.317827347
16,6.25,4.074,240,106.3,34750,265,213,16.975,,,21.1,18,6,5,4,A,70.7,183.1,72.4,60.6,60.8,4074,,21,16938,43,2003 Infiniti QX4 4-Door Luxury SUV 4x2 Current,2003,SUV,0.1564967764
17,5.88235294,3.977,340,113,52000,333,274,11.6970588,14,107,21.4,20,8,5,5,A,58.7,199.6,72.6,62.2,61.4,3977,,23,3717,43,2003 Infiniti Q45 Luxury Current,2003,Car/Sedan,-0.355105767
17,5.88235294,4.046,280,112.2,34200,270,,14.45,,,23.8,,6,5,5,A,65,189.1,75.8,62.7,64.6,4046,,23,,47,2003 Infiniti FX35 2WD Current,2003,SUV,-0.204152748
15,6.66666667,4.299,315,112.2,44225,329,,13.647619,,,23.8,,8,5,5,A,65,189.1,75.8,62.7,64.6,4299,,19,,49,2003 Infiniti FX45 AWD Current,2003,SUV,0.1016102191
20,5,3.557,130,96.9,13999,144,134,27.3615385,,,15.6,22,4,5,5,M,67.1,170.3,70.4,59.6,59.8,,3557,24,3745,32,2003 Isuzu Rodeo Sport S 2WD Soft Top Current,2003,SUV,-0.210803113
17,5.88235294,3.917,230,106.4,24345,230,213,17.0304348,,,19.5,18,6,5,4,A,67.2,182.6,70.7,59.6,59.8,3917,,21,8989,32,2003 Isuzu Axiom S 2WD Current,2003,Car/Sedan,0.0110999643
15,6.66666667,4.79,275,129,28649,275,256,17.4181818,,,25,17,6,7,4,A,75.5,207.6,76.1,63.1,62.1,4790,,20,253,31,2003 Isuzu Ascender S 4X2 Current,2003,Car/Sedan,0.1807614497
19,5.26315789,3.472,192,106.7,29305,178,152,18.0833333,16,90,16,22,6,5,5,M,54.8,183.9,70.4,59.9,60.5,3516,3428,28,33018,46,2003 Jaguar X-Type 2.5-Liter Current,2003,Car/Sedan,0.1927153919
18,5.55555556,3.736,240,114.5,41850,221,181,15.5666667,12,98,15,21,6,5,5,M,56,192,71.6,60.4,60.7,3777,3695,26,15965,46,2003 Jaguar S-Type 3.0-Liter Current,2003,Car/Sedan,0.1821595649
18,5.55555556,3.759,294,101.9,69330,303,256,12.7857143,11,75,19.9,21,8,4,6,A,50.5,187.4,72,59.2,59,3759,,26,3935,46,2003 Jaguar XK Series XK8 Coupe Current,2003,Car/Sedan,-0.452700833
18,5.55555556,3.766,294,119.4,59330,303,256,12.8095238,,,22.5,22,8,5,6,A,57,200.4,73.2,61.3,60.9,3766,,28,,,2004 Jaguar XJ XJ8 Current,2004,Car/Sedan,0.0685930573
18,5.55555556,3.235,147,93.4,16065,165,148,22.0068027,,,19,19,4,2,5,M,70.9,155.4,66.7,58,58,,3235,20,64351,47,2003 Jeep Wrangler SE Current,2003,Car/Sedan,0.5575478482
19,5.26315789,3.747,150,104.3,17910,167,148,24.98,,,18.5,21,4,5,5,M,73.2,174.2,71.1,60,59.7,3846,3648,24,171212,40,2003 Jeep Liberty Sport 2WD Current,2003,Car/Sedan,-0.04661252
16,6.25,3.786,195,105.9,26480,230,242,19.4153846,,,20.5,18,6,5,4,A,70.3,181.6,72.6,59.5,59.5,3786,,21,224233,38,2003 Jeep Grand Cherokee Laredo 2WD Current,2003,SUV,0.7271036547
26,3.84615385,2.4305,104,94.9,9665,104,97,23.3701923,9,88,11.9,29,4,5,5,M,56.7,166.9,65.9,56.4,57.1,2458,2403,33,51195,24,2003 Kia Rio Sedan Current,2003,Car/Sedan,0.134684546
24,4.16666667,2.689,124,100.8,11695,119,109,21.6854839,10,93,13.2,27,4,5,5,M,55.7,177.6,67.7,58.1,57.3,2717,2661,32,72382,24,2003 Kia Spectra Sedan Current,2003,Car/Sedan,0.2139979781
23,4.34782609,3.291,138,106.3,15500,147,144,23.8478261,13,100,17.2,25,4,5,5,M,55.5,185.8,71.5,60.6,59.8,3301,3281,30,26793,31,2003 Kia Optima LX Current,2003,Car/Sedan,-0.258636543
15,6.66666667,4.057,192,106.7,19995,217,213,21.1302083,,,21.1,17,6,5,4,A,68.1,179.8,73.3,62.2,62.2,4057,,20,8451,39,2003 Kia Sorento LX 4X2 Current,2003,Car/Sedan,0.8178422613
15,6.66666667,4.802,195,114.6,19975,218,213,24.625641,,,19.8,17,6,7,5,A,69.3,194.1,74.6,64.4,63.4,4802,,20,39088,39,2003 Kia Sedona LX Current,2003,Van,0.1056021872
17,5.88235294,3.62,174,101,24975,177,152,20.8045977,,,16.9,19,6,5,5,A,,175,71.1,60.4,60.8,3620,,20,15021,43,2003 Land Rover Freelander S Current,2003,SUV,0.5220966604
18,5.55555556,3.255,215,105.1,29435,218,183,15.1395349,10,89,17.5,20,6,5,5,M,55.5,176.6,67.9,58.9,58.5,,3255,25,20306,50,2003 Lexus IS 300 5-Speed Sedan Current,2003,Car/Sedan,0.5860025586
21,4.76190476,3.439,210,107.1,31725,220,183,16.3761905,15,96,18.5,24,6,5,5,A,57.3,191.1,71.3,60.8,60.4,3439,,29,71450,53,2003 Lexus ES 300 Sedan Current,2003,Car/Sedan,-0.342960541
18,5.55555556,3.649,220,110.2,38725,220,183,16.5863636,15,100,19.8,21,6,5,5,A,55.9,189.2,70.9,60.4,59.4,3649,,25,14788,54,2003 Lexus GS 300 Sedan Current,2003,Car/Sedan,0.2523671245
19,5.26315789,3.945,290,115.2,55125,320,262,13.6034483,16,107,22.2,21,8,5,5,A,58.7,196.7,72,61.8,61.8,3945,,25,26261,53,2003 Lexus LS 430 Sedan Current,2003,Car/Sedan,-0.580371215
18,5.55555556,3.84,300,103.1,62225,325,261,12.8,9,75,19.8,20,8,4,5,A,53.1,177.8,72,61,60.4,3840,,23,14462,55,2003 Lexus SC 430 Convertible Current,2003,Car/Sedan,-0.574249149
15,6.66666667,4.675,235,109.8,44925,320,285,19.893617,,,23,16,8,5,5,A,74.6,188.2,74,62.2,62.2,4675,,18,2190,54,2003 Lexus GX 470 Sport Utility Current,2003,SUV,-0.018914927
13,7.69230769,5.59,235,112.2,63625,320,285,23.787234,,,25.4,14,8,8,5,A,72.8,192.5,76.4,63.8,63.6,5590,,17,9231,50,2003 Lexus LX 470 Sport Utility Current,2003,SUV,-0.01949492
20,5,3.86,230,106.9,35025,242,202,16.7826087,,,19.2,,6,5,5,A,66.1,186.2,72.6,62,61.2,3860,,26,,61,2004 Lexus RX 330 Front Wheel Drive Current,2004,Car/Sedan,-0.745836053
